slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	CALMSEA
1	arm..uppper.limb	2121	ARM OR HAND	arm (uppper limb)	arm	ᴀʀᴍ	1		body parts	One of the two upper extremeties of the human body, extending from the shoulder to the wrist. This should be the most general term, and will often include the hand as well. A term for arm which does not include the hand is not expected.	腕	बांह	বাঁহ		လက်		hand/arm
2	bee..general	665	BEE	bee (general)	bee	ʙᴇᴇ	1		fauna	Any pollenating flying insect belonging to the Anthophila clade within the order Hymenoptera. Typically having yellow and black colouring with a striped pattern on the abdoment.	蜂	मधुमक्खी		蜜蜂	ပျား		bee
3	blood	946	BLOOD	blood	blood	ʙʟᴏᴏᴅ	1		body parts	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	血	रक्त		血液	သွေး		blood
4	bridge	1011	BRIDGE	bridge	bridge	ʙʀɪᴅɢᴇ	1			A structure that spans and provides a passage over a road, railway, river, or some other obstacle.	橋	पुल		桥	တံတား		
5	eye	1248	EYE	eye	eye	ᴇʏᴇ	1		body parts	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.	目	आँख		眼睛	မျက်လုံး		eye
6	fire	221	FIRE	fire	fire	ꜰɪʀᴇ	1			The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	火	आग		火	မီး		fire
7	flower	239	FLOWER	flower	flower	ꜰʟᴏᴡᴇʀ	1		flora	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	花	फूल		花	ပန်း		flower
8	fruit	1507	FRUIT	fruit	fruit	ꜰʀᴜɪᴛ	1		flora	The sweet and fleshy product of a tree or other plant that contains seed and can be eaten as food.	実	फल		水果	အသီး		fruit
9	head	1256	HEAD	head	head	ʜᴇᴀᴅ	1		body parts	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	頭	सिर		头	ခေါင်း		head
10	house	1252	HOUSE	house	house	ʜᴏᴜꜱᴇ	1			A building for human habitation, especially one that is lived in by a family or small group of people.	家	घर		房子	အိမ်		house
11	language	1307	LANGUAGE	language	language	ʟᴀɴɢᴜᴀɢᴇ	1			A system of communication using the spoken or signed word or using symbols that represent words, signs or sounds.	ことば	भाषा		语言	ဘာသာစကား		
12	louse..head	1392	LOUSE	louse (head)	louse	ʟᴏᴜꜱᴇ	1		fauna	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.	虱	जूं		虱子	ကြွက်		louse
13	moon	1313	MOON	moon	moon	ᴍᴏᴏɴ	1			A natural satellite of a planet.	月	चांद		月亮	လ		moon
14	mother	1216	MOTHER	mother	mother	ᴍᴏᴛʜᴇʀ	1			A woman who has at least one child.	母	मां		母亲	အမေ		
15	person..human.being	683	PERSON	person (human being)	person	ᴘᴇʀꜱᴏɴ	1			A human being.	人間	व्यक्ति		人	လူ		person/human being
16	salt	1274	SALT	salt	salt	ꜱᴀʟᴛ	1			A crystalline substance consisting of sodium and chlorine, used for seasoning or preserving food, or for a variety of other industrial and household purposes.	塩	नमक		盐	ဆားငန်		salt
17	snake	730	SNAKE	snake	snake	ꜱɴᴀᴋᴇ	1		fauna	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.	蛇	साँप		蛇	မြွေ		snake
18	sun	1343	SUN	sun	sun	ꜱᴜɴ	1			The particular star at the centre of our solar system, from which the Earth gets light and heat.	太陽	सूरज		太阳	နေ		sun/day
19	0010.:ten	1515	TEN	ten	ten	ᴛᴇɴ	1		numbers	The default numeral for ten (10). It should not include a numeral classifier, but instead be only the bare numeral.	十	दस	দহ	十	ဆယ်		ten
20	thorn	124	THORN	thorn	thorn	ᴛʜᴏʀɴ	1		flora	A sharp, pointed projection on the stem or branch of a plant, developed as a form of defence from grazing animals.	棘	कांटा		刺	ဆူး		thorn (prick)
21	colour.:black:to.be	163	BLACK	to be black	black	ʙʟᴀᴄᴋ	1			Of the very darkest color owing to the absence of or complete absorption of light, the opposite of white.	黒い	काला		黑	အနက်ရောင်		black
22	colour.:red:to.be	156	RED	to be red	red	ʀᴇᴅ	1		statives	A color resembling the hue of blood, fire, or a ripe tomato.	赤い	लाल		红色	အနီေရာင်		red
23	colour.:white:to.be	1335	WHITE	to be white	white	ᴡʜɪᴛᴇ	1		statives	A color characterized by the presence of all wavelengths of visible light, often associated with purity or innocence.	白い	सफ़ेद		白色的	အဖြူ		white
24	drink:to	1401	DRINK	to drink	drink	ᴅʀɪɴᴋ	1			To consume a liquid through the mouth.	飲む	पीना		喝	သောက်ရန်		drink
25	sleep:to	1585	SLEEP	to sleep	sleep	ꜱʟᴇᴇᴘ	1			To rest in a state of decreased consciousness and reduced metabolism.	眠る	सोना		睡觉	အိပ်ရန်		sleep/lie down
26	weep..cry:to	1839	CRY	to weep (cry)	weep	ᴡᴇᴇᴘ	1			To shed tears in response to an emotional state, such as sadness, pain, or happiness.	泣く	रोना		哭泣	ငို၊ ငို		weep
27	tree	906	TREE	tree	tree	ᴛʀᴇᴇ	1		flora	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.	木	पेड़ (ped)		树	သစ်ပင်		tree/wood
28	village	930	VILLAGE	village	village	ᴠɪʟʟᴀɢᴇ	1			A small community of houses and other buildings, typically in a rural area, often organised under unified leadership and identifiable as a community.	村	गांव		村庄	ရွာ		village
29	water	948	WATER	water	water	ᴡᴀᴛᴇʀ	1			Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.	水						water
30	year	1226	YEAR	year	year	ʏᴇᴀʀ	1			The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).	年	साल		年	တစ်နှစ်		year
31	1.du	2634	WE TWO	1 du	1.du	1.ᴅᴜ	2		pronouns	The speaker and exactly one other person. // The first person dual pronominal stem. In varieties which have this stem, it is typically derived from a proposed etymon #tsi. Varieties which lack stem suppletion for dual pronominal forms should have their compounds recorded as such.							
32	1.n.sg.excl	1130	WE (EXCLUSIVE)	1 n sg excl	1.n.sg.excl	1.ɴ.ꜱɢ.ᴇxᴄʟ	2		pronouns	Exclusive form of the non-singular and non-dual pronominal stem. This should only be filled out for languages which have a suppletive clusivity distinction.					ကျွန်တစ်ဦးတည်းနှင့်တကွ		
33	1.n.sg.incl	1131	WE (INCLUSIVE)	1 n sg incl	1.n.sg.incl	1.ɴ.ꜱɢ.ɪɴᴄʟ	2		pronouns	Inclusive form of the non-singular and non-dual pronominal stem. This should only be filled out for languages which have a suppletive clusivity distinction.					ကျွန်မှာတော့		
34	1.sg	1209	I	1 sg	1.sg	1.ꜱɢ	2		pronouns	The first-person singular pronominal stem, typically a reflex of PTB *ŋa or *ka.	わたし						I
35	2.n.sg	1213	YOU	2 n sg	2.n.sg	2.ɴ.ꜱɢ	2		pronouns	Second person non-singular pronominal stem. This will not likely have a suppletive dual counterpart.	おまえたち				သင့်တော်တို့		
